Date,Product Name,Symbol,Open,High,Low,Close,Volume
2023-01-18,Lean Hogs Future (front month) (February),HEG3,77.75,78.5,77.12,77.32,20367.0
2023-01-19,Lean Hogs Future (front month) (February),HEG3,77.18,77.65,76.4,76.65,15369.0
2023-01-20,Lean Hogs Future (front month) (February),HEG3,77.15,78.55,76.9,77.82,11023.0
2023-01-23,Lean Hogs Future (front month) (February),HEG3,77.85,78.2,77.08,77.58,7873.0
2023-01-24,Lean Hogs Future (front month) (February),HEG3,78.0,78.1,76.42,77.1,10013.0
2023-01-25,Lean Hogs Future (front month) (February),HEG3,77.15,77.35,76.3,76.8,6214.0
2023-01-26,Lean Hogs Future (front month) (February),HEG3,76.72,77.42,75.6,77.03,10098.0
2023-01-27,Lean Hogs Future (front month) (February),HEG3,76.97,77.08,75.82,75.88,5978.0
2023-01-30,Lean Hogs Future (front month) (February),HEG3,75.62,75.82,75.08,75.15,5219.0
2023-01-31,Lean Hogs Future (front month) (February),HEG3,75.15,75.28,74.6,74.88,4938.0
2023-02-01,Lean Hogs Future (front month) (February),HEG3,74.75,75.12,73.55,73.97,9887.0
2023-02-02,Lean Hogs Future (front month) (February),HEG3,74.35,75.62,74.35,75.35,6425.0
2023-02-03,Lean Hogs Future (front month) (February),HEG3,75.35,75.9,74.88,75.03,5398.0
2023-02-06,Lean Hogs Future (front month) (February),HEG3,74.78,75.62,74.47,75.05,11785.0
2023-02-07,Lean Hogs Future (front month) (February),HEG3,75.18,75.58,74.9,75.38,4875.0
2023-02-08,Lean Hogs Future (front month) (February),HEG3,74.97,76.2,74.92,75.92,5778.0
2023-02-09,Lean Hogs Future (front month) (February),HEG3,75.68,76.2,75.53,75.82,3032.0
2023-02-10,Lean Hogs Future (front month) (February),HEG3,75.8,76.08,75.7,75.88,1584.0
2023-02-13,Lean Hogs Future (front month) (February),HEG3,75.8,75.95,75.7,75.82,3085.0
2023-02-14,Lean Hogs Future (front month) (February),HEG3,75.75,75.82,75.65,75.68,2180.0
2023-02-16,Lean Hogs Future (front month) (February),HEG3,75.62,75.62,75.62,75.62,0.0
2023-01-18,Lean Hogs Future (second month) (April),HEJ3,87.85,87.85,86.1,86.2,23992.0
2023-01-19,Lean Hogs Future (second month) (April),HEJ3,86.08,86.22,84.08,84.4,23365.0
2023-01-20,Lean Hogs Future (second month) (April),HEJ3,84.95,86.55,84.5,85.72,20155.0
2023-01-23,Lean Hogs Future (second month) (April),HEJ3,86.05,86.52,84.62,85.45,18410.0
2023-01-24,Lean Hogs Future (second month) (April),HEJ3,86.1,86.25,84.0,85.38,18670.0
2023-01-25,Lean Hogs Future (second month) (April),HEJ3,85.85,85.85,84.5,85.32,15705.0
2023-01-26,Lean Hogs Future (second month) (April),HEJ3,85.72,87.4,83.7,87.0,22570.0
2023-01-27,Lean Hogs Future (second month) (April),HEJ3,87.35,88.32,86.2,86.45,16098.0
2023-01-30,Lean Hogs Future (second month) (April),HEJ3,86.3,88.0,85.0,86.52,16698.0
2023-01-31,Lean Hogs Future (second month) (April),HEJ3,87.45,87.45,85.08,86.42,14909.0
2023-02-01,Lean Hogs Future (second month) (April),HEJ3,86.05,86.12,82.75,84.3,27388.0
2023-02-02,Lean Hogs Future (second month) (April),HEJ3,84.8,86.3,84.02,86.0,19378.0
2023-02-03,Lean Hogs Future (second month) (April),HEJ3,85.85,86.78,85.12,86.48,18691.0
2023-02-06,Lean Hogs Future (second month) (April),HEJ3,86.1,86.3,82.35,82.72,32508.0
2023-02-07,Lean Hogs Future (second month) (April),HEJ3,83.05,84.08,81.28,83.28,25545.0
2023-02-08,Lean Hogs Future (second month) (April),HEJ3,82.6,84.68,82.3,84.08,20353.0
2023-02-09,Lean Hogs Future (second month) (April),HEJ3,84.12,84.98,82.08,83.32,19938.0
2023-02-10,Lean Hogs Future (second month) (April),HEJ3,83.75,83.78,82.62,83.32,14016.0
2023-02-13,Lean Hogs Future (second month) (April),HEJ3,83.78,86.52,83.7,86.35,27157.0
2023-02-14,Lean Hogs Future (second month) (April),HEJ3,86.0,87.8,85.8,87.25,23189.0
2023-02-15,Lean Hogs Future (second month) (April),HEJ3,86.68,87.35,85.85,86.5,14434.0
2023-02-16,Lean Hogs Future (second month) (April),HEJ3,85.95,86.22,85.1,85.78,16274.0
2023-02-17,Lean Hogs Future (second month) (April),HEJ3,85.88,87.1,85.2,85.28,20826.0
2023-01-18,Lean Hogs Future (third month) (May),HEK3,96.05,96.05,94.15,94.45,328.0
2023-01-19,Lean Hogs Future (third month) (May),HEK3,94.08,94.55,92.6,93.18,174.0
2023-01-20,Lean Hogs Future (third month) (May),HEK3,93.18,94.58,93.18,93.8,48.0
2023-01-23,Lean Hogs Future (third month) (May),HEK3,93.4,94.2,93.0,93.4,68.0
2023-01-24,Lean Hogs Future (third month) (May),HEK3,93.8,93.85,92.25,93.4,48.0
2023-01-25,Lean Hogs Future (third month) (May),HEK3,93.45,93.72,92.6,93.48,94.0
2023-01-26,Lean Hogs Future (third month) (May),HEK3,93.38,95.08,92.22,94.85,99.0
2023-01-27,Lean Hogs Future (third month) (May),HEK3,94.8,96.15,94.7,94.92,77.0
2023-01-30,Lean Hogs Future (third month) (May),HEK3,94.52,96.12,93.9,95.02,120.0
2023-01-31,Lean Hogs Future (third month) (May),HEK3,95.18,95.75,94.22,95.42,118.0
2023-02-01,Lean Hogs Future (third month) (May),HEK3,94.62,94.62,92.55,93.78,156.0
2023-02-02,Lean Hogs Future (third month) (May),HEK3,94.18,95.35,93.78,95.28,91.0
2023-02-03,Lean Hogs Future (third month) (May),HEK3,94.9,95.5,94.5,95.28,48.0
2023-02-06,Lean Hogs Future (third month) (May),HEK3,95.05,95.05,92.08,92.25,94.0
2023-02-07,Lean Hogs Future (third month) (May),HEK3,92.65,93.08,90.65,92.65,145.0
2023-02-08,Lean Hogs Future (third month) (May),HEK3,92.25,93.88,91.85,93.82,104.0
2023-02-09,Lean Hogs Future (third month) (May),HEK3,94.22,94.25,92.18,93.02,38.0
2023-02-10,Lean Hogs Future (third month) (May),HEK3,93.32,93.5,92.68,93.2,39.0
2023-02-13,Lean Hogs Future (third month) (May),HEK3,93.95,95.65,93.75,95.5,187.0
2023-02-14,Lean Hogs Future (third month) (May),HEK3,95.35,96.7,95.1,96.05,74.0
2023-02-15,Lean Hogs Future (third month) (May),HEK3,95.8,96.35,95.12,95.7,41.0
2023-02-16,Lean Hogs Future (third month) (May),HEK3,95.22,95.32,94.58,94.85,48.0
2023-02-17,Lean Hogs Future (third month) (May),HEK3,95.18,95.75,94.4,94.4,56.0
